Red,Green,Blue
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.639,0.167,0.194
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.632,0.158,0.211
0.622,0.162,0.216
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.622,0.162,0.216
0.632,0.158,0.211
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.615,0.179,0.205
0.615,0.179,0.205
0.615,0.179,0.205
0.615,0.179,0.205
0.615,0.179,0.205
0.615,0.179,0.205
0.615,0.179,0.205
0.615,0.179,0.205
0.600,0.175,0.225
0.600,0.175,0.225
0.600,0.175,0.225
0.600,0.175,0.225
0.600,0.175,0.225
0.585,0.195,0.220
0.585,0.195,0.220
0.585,0.195,0.220
0.585,0.195,0.220
0.585,0.195,0.220
0.585,0.195,0.220
0.585,0.195,0.220
0.590,0.179,0.231
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.639,0.167,0.194
0.639,0.167,0.194
0.629,0.171,0.200
0.629,0.171,0.200
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.636,0.152,0.212
0.636,0.152,0.212
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.611,0.167,0.222
0.611,0.167,0.222
0.611,0.167,0.222
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.575,0.200,0.225
0.585,0.195,0.220
0.585,0.195,0.220
0.571,0.214,0.214
0.571,0.214,0.214
0.568,0.205,0.227
0.558,0.209,0.233
0.571,0.214,0.214
0.571,0.214,0.214
0.585,0.195,0.220
0.575,0.200,0.225
0.575,0.200,0.225
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.605,0.184,0.211
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.622,0.162,0.216
0.639,0.167,0.194
0.639,0.167,0.194
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.667,0.152,0.182
0.656,0.156,0.187
0.677,0.129,0.194
0.677,0.129,0.194
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.647,0.147,0.206
0.647,0.147,0.206
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.667,0.121,0.212
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.667,0.152,0.182
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.649,0.162,0.189
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.615,0.179,0.205
0.632,0.158,0.211
0.632,0.158,0.211
0.632,0.158,0.211
0.615,0.179,0.205
0.632,0.158,0.211
0.615,0.179,0.205
0.615,0.179,0.205
0.632,0.158,0.211
0.632,0.158,0.211
0.639,0.167,0.194
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.657,0.143,0.200
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.667,0.152,0.182
0.667,0.152,0.182
0.656,0.156,0.187
0.656,0.156,0.187
0.656,0.156,0.187
0.656,0.156,0.187
0.656,0.156,0.187
0.656,0.156,0.187
0.656,0.156,0.187
0.636,0.152,0.212
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.636,0.152,0.212
0.636,0.152,0.212
0.618,0.176,0.206
0.600,0.200,0.200
0.595,0.189,0.216
0.579,0.211,0.211
0.561,0.220,0.220
0.571,0.214,0.214
0.558,0.209,0.233
0.545,0.227,0.227
0.545,0.227,0.227
0.545,0.227,0.227
0.545,0.227,0.227
0.545,0.227,0.227
0.571,0.214,0.214
0.575,0.200,0.225
0.579,0.211,0.211
0.595,0.189,0.216
0.595,0.189,0.216
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
